Speaker	Gender	SyllDur
S1	Male	207
S10	Male	234
S11	Male	238
S12	Male	239
S13	Male	238
S14	Male	226
S15	Male	225
S16	Male	220
S17	Male	230
S18	Female	223
S19	Female	237
S2	Male	209
S20	Female	238
S21	Female	239
S22	Female	246
S23	Female	248
S24	Female	225
S25	Female	263
S26	Female	243
S27	Female	258
S28	Female	245
S29	Female	249
S3	Male	220
S30	Female	238
S31	Female	277
S32	Female	269
S33	Female	256
S34	Female	255
S4	Male	218
S5	Male	208
S6	Male	219
S7	Male	220
S8	Male	227
S9	Male	232
